State,Title,Author,Year_Banned,Theme,Reason,Latitude,Longitude
Boston,"""Memoirs of a Woman of Pleasure""",John Cleland,1821,"female desire, sexual agency","obscene, indecent, and impure",42.360081,-71.058884
Pennsylvania,"""The Sorrows of Young Werther""",Johann Wolfgang von Goethe,mid-1800s,mental health struggle,"copycat suicides,  encouraging emotional excess and suicide",41.203323,-77.194527
New York,"""The Sorrows of Young Werther""",Johann Wolfgang von Goethe,mid-1800s,mental health struggle,"copycat suicides,  encouraging emotional excess and suicide",40.712776,-74.005974
Pennsylvania," ""The Age of Reason""",Thomas Paine,1794,religious Skepticism,"copycat suicides, encouraging rebellion against authority and promoting individualism",41.203323,-77.194527
Virginia," ""The Age of Reason""",Thomas Paine,1794,religious Skepticism,"copycat suicides, encouraging rebellion against authority and promoting individualism",37.431572,-78.656891
Oklahoma,"""Narrative of the Life of Frederick Douglass""",Frederick Douglass,mid-1800s & July 2021 and March 2022,"slavery, resistance, Christianity","Critical Race Theory concerns, racial issues, emphasis on inclusion, , Christianity, corruption of power, critical race theory,” forbidden under recent state Law 1775.",35.007751,-97.092880
South Carolina," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.759575,-79.019302
West Virginia," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",38.597626,-80.454903
Virginia," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",37.431572,-78.656891
North Carolina," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.759575,-79.019302
Alabama," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",32.576229,-86.680740
Arkansas," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",35.201050,-91.831833
Delaware," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",38.910831,-75.527672
Florida," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",27.664827,-81.515755
Georgia," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",32.165623,-82.900078
Kentucky," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",37.839333,-84.270020
Lousiana," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",30.984299,-91.962334
Maryland," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",39.045753,-76.641273
Mississippi," ""Uncle Tom’s Cabin""",Harriet Beecher Stowe,1852,"destructive nature of slavery, empowerment women, religion","anti-slavery message, graphic content, religious objections, racial despictions, language use racial slurs.",32.354668,-89.398529
