Title,Author,FileName
Thirteen Reasons Why,Jay Asher,13_Reasons_Why.html
Call Me by Your Name,André Aciman,Call-Me-by-Your-Name.html
Eleanor and Park,Rainbow Rowell,Eleanor-and-Park.html
To Kill a Mockingbird,Harper Lee,To-Kill-a-Mockingbird.html
The Philosopher's Stone,J.K. Rowling,The-Philosopher-s-Stone.html
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Sáenz,Aristotle_and_Dante_Discover_the_Secrets_of_the_Universe_hocr.html
Gabi: a Girl in Pieces,Isabel Quintero,Gabi_a_Girl_in_Pieces_hocr.html
Gender Queer: a Memoir,Maia Kobabe,Gender_Queer_A_Memoir _hocr.html
The Da Vinci Code,Dan Brown,The-Da-Vinci-Code.html
Lord of the Rings- The Fellowship of the Ring,J.R.R. Tolkien,lord-of-the-rings-the-fellowship-of-the-ring_hocr.html
I'll Give You the Sun,Jandy Nelson,I-ll-Give-You-the-Sun.html
Slaughterhouse Five,Kurt Vonnegut,Slaughterhouse-Five-_Kurt-Vonnegut-Jr...-_Z-Library_.html
The Color Purple,Alice Walker,The-Color-Purple.html
The Grapes of Wrath,John Steinbeck,The-Grapes-of-Wrath.html
The Catcher in the Rye,J.D. Salinger,The_Catcher_in_the_Rye_hocr.html
Nineteen Eighty Four,George Orwell,Nineteen eighty-four.html
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,the-duff-designated-ugly-fat-friend-hocr.html
The Handmaid's Tale,Margaret Atwood,the-handmaids-tale_hocr.html
Throne of Glass,Sarah J. Maas,Throne-of-Glass-.html
